Hospital,Bed_capacity,Patient_flow,Workforce,Demand_absorption,Cost_adaptability,OFI,Rank
H4,0.92,1.0,0.916666666666667,0.9555555555555556,0.9107142857142857,0.9405873015873016,1
H11,0.84,0.8365591397849462,1.0,1.0,1.0,0.9353118279569893,2
H13,0.84,0.9672043010752689,0.8333333333333335,0.9111111111111111,0.9464285714285714,0.8996154633896569,3
H8,1.0,0.917741935483871,0.7500000000000001,0.8888888888888888,0.857142857142857,0.8827547363031234,4
H1,0.92,0.8349462365591398,0.6666666666666666,0.8222222222222222,0.7857142857142856,0.8059098822324628,5
H5,0.76,0.6548387096774193,0.5000000000000002,0.6888888888888889,0.642857142857143,0.6493169482846903,6
H15,0.52,0.589247311827957,0.3333333333333333,0.5555555555555556,0.5,0.4996272401433692,7
H6,0.6799999999999999,0.37741935483870964,0.3333333333333333,0.5333333333333333,0.4285714285714285,0.4705314900153609,8
H14,0.6,0.4586021505376344,0.41666666666666674,0.4,0.41071428571428564,0.45719662058371735,9
H2,0.52,0.328494623655914,0.41666666666666674,0.4444444444444444,0.3749999999999999,0.416921146953405,10
H9,0.6,0.5236559139784946,0.24999999999999992,0.35555555555555557,0.3214285714285715,0.4101280081925244,11
H3,0.4,0.32634408602150533,0.16666666666666666,0.28888888888888886,0.26785714285714285,0.2899513568868407,12
H10,0.4,0.08333333333333333,0.5833333333333333,0.15555555555555556,0.1250000000000001,0.2694444444444445,13
H12,0.19999999999999996,0.1629032258064516,0.08333333333333325,0.08888888888888889,0.07142857142857148,0.12131080389144903,14
H7,0.0,0.03225806451612906,0.0,0.0,0.0,0.006451612903225812,15
