Hospital,Bed_capacity,Patient_flow,Workforce,Demand_absorption,Cost_adaptability,OFI,Rank
H4,0.92,1.0,0.917,0.956,0.911,0.941,1
H11,0.84,0.837,1.0,1.0,1.0,0.935,2
H13,0.84,0.967,0.833,0.911,0.946,0.9,3
H8,1.0,0.918,0.75,0.889,0.857,0.883,4
H1,0.92,0.835,0.667,0.822,0.786,0.806,5
H5,0.76,0.655,0.5,0.689,0.643,0.649,6
H15,0.52,0.589,0.333,0.556,0.5,0.5,7
H6,0.68,0.377,0.333,0.533,0.429,0.471,8
H14,0.6,0.459,0.417,0.4,0.411,0.457,9
H2,0.52,0.328,0.417,0.444,0.375,0.417,10
H9,0.6,0.524,0.25,0.356,0.321,0.41,11
H3,0.4,0.326,0.167,0.289,0.268,0.29,12
H10,0.4,0.083,0.583,0.156,0.125,0.269,13
H12,0.2,0.163,0.083,0.089,0.071,0.121,14
H7,0.0,0.032,0.0,0.0,0.0,0.006,15
